abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
193,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,349,2,45,55,1059860,1.1,63,591,509,50.0,17,50,50,71,13,9,30.0,1,0
193,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,3840,70,579,26,45,80,1059860,1.5,83,592,508,50.0,18,135,80,121,13,9,39.5,1,0
313,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,70,253,21,341,35,1000000,1.0,30,384,551,50.0,19,25,35,72,13,3,27.3,1,0
313,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,70,413,4,341,70,1000000,1.0,75,623,550,50.0,20,40,80,77,13,3,27.3,1,0
190,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,262,21,525,30,1000000,0.3,40,565,648,50.0,21,31,31,70,13,9,2.0,1,0
190,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,70,442,34,33,65,1000000,1.2,65,562,210,50.0,22,61,61,100,13,9,38.0,1,0
168,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,70,288,21,470,44,1000000,2.0,35,23,191,50.0,23,40,54,55,14,1,6.9,1,0
168,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,70,448,34,102,69,1000000,3.5,60,22,18,50.0,24,65,79,80,14,1,65.0,1,0
371,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,14,341,40,1000000,0.4,35,593,513,50.0,25,50,50,90,4,1,6.0,1,0
370,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,32,341,50,1000000,1.0,60,617,545,50.0,26,95,85,110,4,5,27.3,1,0
326,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,70,300,21,341,90,1000000,1.0,50,650,579,50.0,27,10,35,40,11,13,27.3,1,0
326,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,34,341,120,1000000,1.0,75,649,580,50.0,28,25,65,65,11,13,27.3,1,0
265,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,70,275,19,383,52,1059860,0.4,55,524,464,0.0,29,40,40,41,14,1,7.0,1,0
265,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,70,365,2,383,67,1059860,0.8,70,526,466,0.0,30,55,55,56,14,1,20.0,1,0
266,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,26,151,87,1059860,1.3,90,523,463,0.0,31,75,85,76,14,12,60.0,1,0
265,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,70,273,19,383,40,1059860,0.5,46,525,465,100.0,32,40,40,50,14,1,9.0,1,0
265,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,70,365,2,383,57,1059860,0.9,61,527,467,100.0,33,55,55,65,14,1,19.5,1,0
266,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,26,151,77,1059860,1.4,81,522,462,100.0,34,85,75,85,14,12,62.0,1,0
59,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,9,173,48,800000,0.6,70,595,113,24.6,35,60,65,35,5,1,7.5,1,0
60,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,20,173,73,800000,1.3,95,596,112,24.6,36,95,90,60,5,1,40.0,1,0
88,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,70,299,14,199,40,1000000,1.0,38,635,760,24.6,37,50,65,65,7,13,27.3,1,0
88,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,32,199,75,1000000,1.0,73,399,470,24.6,38,81,100,109,7,13,27.3,1,0
56,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,70,270,12,27,20,800000,0.5,115,614,324,24.6,39,45,25,20,13,6,5.5,1,0
57,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,27,27,45,800000,1.0,140,611,774,24.6,40,85,50,45,13,6,12.0,1,0
148,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,3840,70,245,21,31,35,1000000,0.8,40,797,799,50.0,41,30,40,55,14,9,7.5,1,0
148,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,3840,70,455,34,31,70,1000000,1.6,75,237,258,50.0,42,65,75,90,14,9,55.0,1,0
36,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,5120,70,320,21,565,55,1059860,0.5,45,515,479,50.0,43,75,65,30,10,15,5.4,1,0
40,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,5120,70,395,2,565,70,1059860,0.8,60,395,256,50.0,44,85,75,40,10,15,8.6,1,0
28,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,70,490,26,191,85,1059860,1.2,75,641,752,50.0,45,110,90,50,10,15,18.6,1,0
78,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,5120,70,285,14,345,55,1000000,0.3,35,577,495,50.0,46,45,55,25,1,11,5.4,1,0
78,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,5120,70,405,32,345,80,1000000,1.0,60,576,496,50.0,47,60,80,30,1,11,29.5,1,0
50,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,5120,70,305,14,252,50,1000000,1.0,60,382,744,50.0,48,40,55,45,1,15,30.0,1,0
349,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,5120,70,450,32,382,60,1000000,1.5,70,495,743,50.0,49,90,75,90,1,15,12.5,1,0
324,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,5120,70,265,21,336,30,1000000,1.0,10,131,161,50.0,50,35,45,90,11,12,27.3,1,0
324,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,425,27,336,60,1000000,1.0,35,160,179,50.0,51,50,70,110,11,12,27.3,1,0
260,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,5120,70,290,21,434,35,1000000,1.0,40,544,428,50.0,52,50,40,90,13,3,27.3,1,0
209,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,440,34,98,60,1000000,1.0,65,587,501,50.0,53,75,65,115,13,3,27.3,1,0
64,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,5120,70,320,14,153,48,1000000,0.8,50,372,534,50.0,54,65,50,55,18,1,19.6,1,0
64,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,70,500,32,153,78,1000000,1.7,80,238,260,50.0,55,95,80,85,18,1,76.6,1,0
463,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,14,369,35,1000000,0.5,40,442,412,50.0,56,35,45,70,6,1,28.0,1,0
463,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,5120,70,455,32,369,60,1000000,1.0,65,557,531,50.0,57,60,70,95,6,1,32.0,1,0
159,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,5120,70,350,14,399,45,1250000,0.7,55,217,279,75.4,58,70,50,60,7,1,19.0,1,0
159,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,70,555,32,289,80,1250000,1.9,90,759,19,75.4,59,100,80,95,7,1,155.0,1,0
472,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,5120,70,300,21,512,40,1059860,0.6,40,548,521,50.0,60,40,40,90,18,1,12.4,1,0
472,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,385,2,512,65,1059860,1.0,65,550,522,50.0,61,50,50,90,18,1,20.0,1,0
472,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,5120,70,510,26,512,95,1059860,1.3,90,547,523,50.0,62,70,90,70,18,7,54.0,1,0
433,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,5120,70,310,15,395,15,1059860,0.9,25,79,2,75.4,63,105,55,90,15,1,19.5,1,0
433,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,5120,70,400,1,395,30,1059860,1.3,40,787,332,75.4,64,120,70,105,15,1,56.5,1,0
433,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,5120,70,600,27,395,65,1059860,1.5,55,191,9,75.4,65,175,105,150,15,1,48.0,1,0
109,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,13,504,50,1059860,0.8,70,751,396,75.4,66,35,35,35,6,1,19.5,1,0
109,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,5120,70,405,34,504,70,1059860,1.5,80,245,395,75.4,67,50,60,45,6,1,70.5,1,0
109,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,5120,70,505,26,504,80,1059860,1.6,90,331,394,75.4,68,65,85,55,6,1,130.0,1,0
29,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75,5120,70,300,21,191,35,1059860,0.7,50,428,49,50.0,69,70,30,40,10,15,4.0,1,0
29,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90,5120,70,390,2,193,50,1059860,1.0,65,737,768,50.0,70,85,45,55,10,15,6.4,1,0
29,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105,5120,70,490,26,193,65,1059860,1.7,80,736,749,50.0,71,100,70,70,10,15,15.5,1,0
44,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40,5120,70,335,14,264,35,1250000,0.9,40,462,694,50.0,72,50,100,70,18,15,45.5,1,0
44,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70,5120,70,515,29,264,65,1250000,1.6,80,147,695,50.0,73,80,120,100,18,15,55.0,1,0
305,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80,3840,70,300,21,412,100,1059860,1.0,40,303,246,50.0,74,30,30,20,16,12,27.3,1,0
305,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95,3840,70,390,2,412,115,1059860,1.0,55,239,273,50.0,75,45,45,35,16,12,27.3,1,0
305,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120,3840,70,495,26,325,130,1059860,1.0,80,240,261,50.0,76,55,65,45,16,12,27.3,1,0
312,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,5120,70,410,14,178,55,1000000,1.0,50,600,524,50.0,77,65,65,90,7,1,30.0,1,0
312,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100,5120,70,500,29,178,70,1000000,1.7,65,208,549,50.0,78,80,80,105,7,1,95.0,1,0
238,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,65,5120,70,315,14,146,65,1000000,1.2,90,763,634,50.0,79,40,40,15,18,16,36.0,1,0
238,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120,70,590,32,235,180,1000000,1.6,95,764,632,50.0,80,130,80,30,18,16,78.5,1,0
216,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,35,5120,70,325,14,316,70,1000000,0.3,25,100,403,50.0,81,95,55,45,4,18,6.0,1,0
216,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,60,5120,70,465,29,316,95,1000000,1.0,50,622,404,50.0,82,120,70,70,4,18,60.0,1,0
182,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,5120,70,377,26,571,55,1000000,0.8,52,338,209,50.0,83,58,62,60,13,9,15.0,1,0
311,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,5120,70,310,14,548,45,1000000,1.4,35,138,164,50.0,84,35,35,75,13,9,39.2,1,0
311,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,110,5120,70,470,26,543,70,1000000,1.8,60,137,163,50.0,85,60,60,110,13,9,85.2,1,0
443,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,5120,70,325,14,442,55,1000000,1.1,65,580,595,50.0,86,45,70,45,18,1,90.0,1,0
443,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,70,5120,70,475,32,442,80,1000000,1.7,90,314,154,50.0,87,70,95,70,18,13,120.0,1,0
382,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,80,5120,70,325,14,467,50,1000000,1.0,80,55,275,50.0,88,40,50,25,14,15,27.3,1,0
382,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,105,5120,70,500,32,467,75,1000000,1.0,105,56,455,50.0,89,65,100,50,14,15,27.3,1,0
344,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,305,14,47,100,1250000,0.3,30,656,606,50.0,90,45,25,40,18,1,4.0,1,0
344,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,95,5120,70,525,29,47,180,1250000,1.5,50,578,115,50.0,91,85,45,70,18,13,132.5,1,0
202,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,35,5120,70,310,14,208,30,1059860,1.3,30,223,242,50.0,92,100,35,80,9,15,0.1,1,0
202,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,50,5120,70,405,34,208,45,1059860,1.6,45,222,290,50.0,93,115,55,95,9,15,0.1,1,0
55,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,65,5120,70,600,26,451,80,1059860,1.5,60,213,245,50.0,94,170,95,130,9,15,40.5,1,0
307,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,45,6400,70,385,26,414,160,1000000,8.8,35,307,482,50.0,95,30,45,70,16,12,210.0,1,0
153,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,48,5120,70,328,14,244,45,1000000,1.0,60,675,176,50.0,96,43,90,42,15,1,32.4,1,0
153,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,73,5120,70,483,32,244,70,1000000,1.6,85,674,315,50.0,97,73,115,67,15,1,75.6,1,0
135,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,325,18,408,90,1000000,0.4,30,105,349,50.0,98,25,25,50,18,1,6.5,1,0
135,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,130,5120,70,475,29,371,115,1000000,1.3,55,362,340,50.0,99,50,50,75,18,1,60.0,1,0
363,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,30,5120,70,330,14,24,50,1000000,0.5,40,58,758,50.0,100,55,55,100,4,1,10.4,1,0
363,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,50,5120,70,490,29,24,70,1000000,1.2,60,448,195,50.0,101,80,80,150,4,1,66.6,1,0
31,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,40,5120,70,325,34,155,80,1250000,0.4,60,694,206,50.0,102,60,45,40,10,16,2.5,1,0
30,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,105,5120,70,530,26,103,85,1250000,1.0,95,512,207,50.0,103,125,75,45,10,16,27.3,1,0
301,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,50,5120,70,320,14,301,95,1000000,0.4,50,344,139,50.0,104,40,50,35,11,1,6.5,1,0
300,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,80,5120,70,425,32,58,110,1000000,1.0,60,216,419,50.0,105,50,80,45,11,8,27.3,1,0
208,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,120,6400,70,455,26,273,53,1000000,1.5,50,651,302,100.0,106,35,110,87,6,1,49.8,1,0
183,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,6400,70,455,26,397,79,1000000,1.4,50,163,301,100.0,107,35,110,76,6,1,50.2,1,0
